source,target,shortest_path,path_cost,num_hops
1360,2030,"[1360, 2647, 1627, 2847, 4, 2030]",8.668608176845273,5
641,4633,"[641, 241, 4633]",5.7378252268998855,2
3584,2689,"[3584, 2686, 1388, 175, 1584, 47, 531, 2689]",9.645903869549453,7
778,413,"[778, 199, 120, 51, 413]",8.006197049730659,4
3617,2876,"[3617, 34, 3646, 252, 257, 2876]",6.808958964775804,5
4442,4001,"[4442, 6, 1304, 3328, 122, 3158, 4001]",10.330618289544317,6
1222,3814,"[1222, 81, 3, 3814]",4.673379693639442,3
3329,4701,"[3329, 1727, 2841, 1982, 29, 2234, 4701]",8.435541308639168,6
4482,2430,"[4482, 58, 2360, 98, 12, 874, 2430]",7.911870703351651,6
4253,2148,"[4253, 100, 88, 8, 894, 739, 4377, 2148]",8.089991486094712,7
476,3746,"[476, 296, 198, 567, 3746]",8.517234778118112,4
3301,228,"[3301, 1144, 69, 95, 10, 351, 81, 228]",6.469035975631097,7
4689,1511,"[4689, 706, 3218, 26, 351, 10, 246, 1511]",8.627945783594294,7
2613,3184,"[2613, 1369, 1220, 77, 2374, 41, 3184]",8.43084762995363,6
4645,2433,"[4645, 51, 96, 292, 18, 91, 2433]",8.988547053620678,6
4115,2511,"[4115, 99, 56, 4, 964, 3952, 2511]",7.59231535551374,6
2764,4301,"[2764, 56, 4, 84, 4301]",7.712434352032563,4
397,4601,"[397, 122, 529, 5, 4601]",4.2410818570280595,4
4361,2013,"[4361, 2170, 431, 7, 445, 274, 3, 3592, 2013]",8.682595420554907,8
1222,1336,"[1222, 81, 281, 5, 664, 12, 1336]",6.203042748904778,6
2618,1403,"[2618, 2797, 324, 3250, 4, 542, 314, 1403]",7.827457457152497,7
1143,537,"[1143, 56, 4, 135, 16, 1219, 537]",6.562986162811964,6
450,1418,"[450, 206, 685, 780, 1418]",7.702767768848456,4
2933,2489,"[2933, 532, 19, 7, 340, 857, 1172, 2489]",8.838057819185934,7
3201,1258,"[3201, 2603, 1, 8, 6, 460, 1258]",7.505345032911123,6
3523,3120,"[3523, 1475, 25, 289, 4, 9, 2657, 3120]",9.3010056842992,7
404,1522,"[404, 19, 4217, 4575, 866, 1522]",6.889079123871483,5
2946,1139,"[2946, 279, 1, 4274, 9, 4, 1139]",8.920249116672885,6
4446,670,"[4446, 281, 81, 206, 670]",8.064464439804759,4
1661,384,"[1661, 56, 402, 110, 282, 384]",7.4615352645500685,5
1622,4943,"[1622, 135, 16, 53, 1288, 4943]",6.691559582984696,5
4298,4131,"[4298, 6, 24, 208, 525, 4131]",7.2650355826660125,5
3919,698,"[3919, 115, 698]",6.320529770527882,2
4668,2379,"[4668, 117, 739, 4501, 0, 1738, 4289, 2379]",9.683212532770801,7
1757,118,"[1757, 22, 8, 6, 118]",5.269611425016283,4
3813,1223,"[3813, 3613, 1577, 1154, 419, 624, 4490, 1223]",9.193181794177404,7
39,2894,"[39, 6, 7, 2188, 2894]",7.6781367619743275,4
1613,1481,"[1613, 12, 6, 1877, 1481]",8.383734913279637,4
3802,3239,"[3802, 70, 3211, 106, 3239]",3.7164369603674237,4
4340,169,"[4340, 438, 403, 896, 2398, 169]",5.102400936160525,5
1895,2941,"[1895, 1364, 4168, 6, 3290, 2941]",9.039390722144974,5
482,4515,"[482, 77, 6, 1505, 4515]",4.937865275201274,4
4746,4130,"[4746, 368, 1977, 999, 4130]",5.534777366650321,4
292,139,"[292, 18, 5, 38, 139]",6.636021113653483,4
1457,3992,"[1457, 7, 6, 2558, 776, 3755, 3992]",10.590653681525009,6
3035,830,"[3035, 1735, 53, 0, 830]",4.219324946410955,4
2422,3691,"[2422, 1679, 122, 3328, 1304, 6, 3691]",5.819272484774176,6
503,2513,"[503, 482, 4370, 4, 56, 1988, 1363, 479, 2513]",8.920830701254651,8
3337,102,"[3337, 307, 30, 4, 56, 648, 3695, 102]",6.641990235667229,7
4804,1846,"[4804, 1874, 93, 22, 8, 6, 3691, 1594, 1846]",9.555440506721276,8
1931,4396,"[1931, 743, 213, 0, 6, 4396]",10.142865065277016,5
3752,3423,"[3752, 618, 113, 4, 3423]",5.475545718226705,4
