node_id,node_name,features
0,Node_0,"[0.5799833204520839, 0.23746890722274572, 0.398628961644075, 0.7583057135132932, 0.6508834851238695, 0.17779833856524874, 0.051239541146424705, 0.6829615935420649]"
1,Node_1,"[0.25107902402934534, 0.49967024372905344, 0.7467467725125942, 0.5626667806563331, 0.08330258311179639, 0.1855802367835554, 0.21932818403091914, 0.2578642536448449]"
2,Node_2,"[0.5654033919505043, 0.5039657798253935, 0.20316003836420893, 0.06755484345568707, 0.17143220447471808, 0.9843813126186033, 0.46854694979147227, 0.8673455047021125]"
3,Node_3,"[0.8487524666688433, 0.5115195574628737, 0.7066877084605435, 0.19275201041271228, 0.6883967049269083, 0.2723845792632895, 0.8320620967541508, 0.08372413310890992]"
4,Node_4,"[0.7731386728852775, 0.09993690656861953, 0.881189236894309, 0.3042045181350037, 0.6543933648305748, 0.48750227862027984, 0.366303145262339, 0.6454418331834965]"
5,Node_5,"[0.947522980551238, 0.04126974737462186, 0.9188528558831043, 0.6090816550210135, 0.8073143007690523, 0.3838749534342776, 0.4718429748376137, 0.868850751801164]"
6,Node_6,"[0.4148479698098231, 0.534659566749085, 0.020194923084332905, 0.1585980058380423, 0.6416865079747998, 0.7169769010638771, 0.5826009367844994, 0.14331003627561067]"
7,Node_7,"[0.4454054285778348, 0.3550947663631898, 0.4956613440350883, 0.8703290345540943, 0.7758614386586519, 0.08398950138915895, 0.8903091977745643, 0.4717671511498236]"
8,Node_8,"[0.7438621448859984, 0.14003923126435214, 0.6707195257070481, 0.23632601760945793, 0.43838089714093154, 0.01686287008210441, 0.15161063793047602, 0.09208049312361977]"
9,Node_9,"[0.23974417293825845, 0.10001809002432227, 0.6919100266195619, 0.02903990220921937, 0.617740500624998, 0.14070783082557425, 0.9451614571778969, 0.9330940731098543]"
10,Node_10,"[0.22550310252096262, 0.6144212982230295, 0.028005319472458434, 0.9317885430511741, 0.5229873081917097, 0.04322315141777899, 0.3424999930081374, 0.0768494618612342]"
11,Node_11,"[0.3929444393733599, 0.6699263421613231, 0.4698899080414396, 0.38372217471945447, 0.1191570455404648, 0.24493904569365632, 0.10014328773835113, 0.8074987316566608]"
12,Node_12,"[0.13523982798472256, 0.5953733665488935, 0.3427404135888459, 0.2259783846551835, 0.6394684394921037, 0.45700230937694064, 0.40014546728455913, 0.5928520048922216]"
13,Node_13,"[0.4912676284900007, 0.3034842085515608, 0.5590612877652517, 0.6694985765506946, 0.026693158586854282, 0.46587172890767536, 0.05768328458354377, 0.18640541406811106]"
14,Node_14,"[0.5605087340779731, 0.8661889152655807, 0.8828056791884848, 0.06994401013863127, 0.4191050862867066, 0.5830064830045513, 0.1470699045503434, 0.7654322167447717]"
15,Node_15,"[0.7442352584372388, 0.9033410137067946, 0.008486012083443017, 0.21668424398900266, 0.8271867142453218, 0.6705800508269354, 0.8943898536984908, 0.05717965453026652]"
16,Node_16,"[0.5969639657164428, 0.5690465748936742, 0.03567441636053237, 0.5135220769124835, 0.6095203113099242, 0.19129317420210723, 0.27332958312466293, 0.640347346297737]"
17,Node_17,"[0.46830094759995833, 0.8580136575683268, 0.34238176600918835, 0.26665965838820116, 0.9848659403448428, 0.9111357701300834, 0.028992744998979858, 0.7707286153065659]"
18,Node_18,"[0.11033477382520296, 0.02748519482937095, 0.2736955159663489, 0.2693458790611043, 0.8193187623469647, 0.7106672459428351, 0.9816094273320143, 0.7115129003118185]"
19,Node_19,"[0.4182555532560479, 0.6989276609452169, 0.9994590671864021, 0.7101418825625281, 0.7616813559803183, 0.9383650151902594, 0.11365126131168335, 0.7047842934477269]"
20,Node_20,"[0.850805957967449, 0.954378600220893, 0.21096928971169937, 0.5039290077242442, 0.6805548476444818, 0.24746772950133744, 0.600472863250274, 0.25757878249799937]"
21,Node_21,"[0.3334570205316473, 0.44151869651086506, 0.529190098746567, 0.4493658716251506, 0.4931955197879292, 0.2985887562882926, 0.1589650940226306, 0.04734997732683943]"
22,Node_22,"[0.1959787224916677, 0.581943641505783, 0.7861154478031324, 0.16924759744289453, 0.10855535777264846, 0.7492903605492502, 0.3051583305372897, 0.9514994392273525]"
23,Node_23,"[0.714317970610373, 0.32675604724303087, 0.2895427477937049, 0.523698386271309, 0.07914466827820943, 0.11767651264529899, 0.1758578813161925, 0.7747235933045602]"
24,Node_24,"[0.5138573592691225, 0.010567122774442939, 0.673516527472109, 0.4236901786604971, 0.5108523649637979, 0.21411624341293556, 0.5517822283941036, 0.9791532397514886]"
25,Node_25,"[0.07344469100576145, 0.28391739966443064, 0.24299759286082978, 0.2485493107511796, 0.3787063575653773, 0.8181097847441675, 0.9128586899643873, 0.20221508745897332]"
26,Node_26,"[0.5429499379481127, 0.6368989721654803, 0.5218274743638449, 0.43407639419691957, 0.19197550585923784, 0.48821935919923853, 0.4012148277113289, 0.7955633625022697]"
27,Node_27,"[0.7636043591629952, 0.1339986812056707, 0.08851905256306758, 0.908153943227503, 0.5355083889644977, 0.8578009372825907, 0.05815112056640115, 0.5265156165216303]"
28,Node_28,"[0.5394265145762364, 0.8607020325421499, 0.0976099982297075, 0.2404455636759093, 0.4065383138870131, 0.8658414754199422, 0.938883315070567, 0.9927246195936279]"
29,Node_29,"[0.9591934864585215, 0.005941755844354413, 0.04770834145387204, 0.14760681915758866, 0.34886209677027313, 0.8299180309869587, 0.8926561953354805, 0.18683440629458303]"
30,Node_30,"[0.6196641516197087, 0.9173619850652766, 0.4637317359313208, 0.10354357195278396, 0.45781365008462493, 0.37579490228805723, 0.577657996066007, 0.43865868440710365]"
31,Node_31,"[0.01734592685371794, 0.9939977334136711, 0.5435402377305709, 0.47363075548460953, 0.954617371504054, 0.1558603675870771, 0.18923760254524824, 0.8080147490627835]"
32,Node_32,"[0.26083108002500877, 0.7992271062915269, 0.27153348290850254, 0.033187630225001485, 0.517014723886716, 0.19668643412686138, 0.7578462929324711, 0.6411996332321481]"
33,Node_33,"[0.9236026679779178, 0.7829883572657359, 0.18077595484072684, 0.8001582366647964, 0.6417370448140233, 0.6689516417606249, 0.8322628859701487, 0.5738240691889402]"
34,Node_34,"[0.4660035143530129, 0.636641035358728, 0.2979574289583591, 0.1825971310870993, 0.6165878380712464, 0.23384836908547768, 0.07991510934660673, 0.000554184585253914]"
35,Node_35,"[0.6083194014000671, 0.3621487834802368, 0.752310970673456, 0.37517639831310245, 0.4860034482382267, 0.4070849728153849, 0.6505747911093461, 0.3561391620149682]"
36,Node_36,"[0.9637676499423089, 0.9361469865985301, 0.8480279026572813, 0.9203002705727481, 0.449139688459391, 0.5364303967894921, 0.7420925925582444, 0.6961459249385411]"
37,Node_37,"[0.8906785956054708, 0.7163310272566953, 0.9978847082284605, 0.348505799831591, 0.8329977422394179, 0.6976348228326642, 0.6913864452150186, 0.3258355948449989]"
38,Node_38,"[0.7856017924230225, 0.9003760223475992, 0.21854846152056295, 0.6254968371167041, 0.3921348291027752, 0.9895481192948771, 0.4788328158316816, 0.2283201737969427]"
39,Node_39,"[0.38185762522183253, 0.6538383898166262, 0.07608937134957627, 0.6036019202212376, 0.931224759178898, 0.8503627876578504, 0.06767353665798337, 0.9933898787390681]"
40,Node_40,"[0.6987269237038791, 0.1622808243140237, 0.012416089169423494, 0.17128263629215135, 0.8381759206857385, 0.02163932494516374, 0.23314730361808655, 0.7573055953348754]"
41,Node_41,"[0.5861105358981351, 0.7827357103601918, 0.7461505038267879, 0.05060138712180473, 0.8925114190941515, 0.2270318342822687, 0.5533924402297637, 0.6442881565277788]"
42,Node_42,"[0.1686282108850954, 0.9762312567009744, 0.488155956087309, 0.057642695597393434, 0.9372620447778404, 0.5862678431932681, 0.6991931979813764, 0.5251757899342241]"
43,Node_43,"[0.8347379547769676, 0.033133462193210894, 0.26837836527714776, 0.4696483564026922, 0.07660361631371004, 0.7059066693266582, 0.39366341405564076, 0.27266799026814403]"
44,Node_44,"[0.0033788468084122725, 0.7198303117499537, 0.8338093088728618, 0.39504053568149844, 0.5642179770333655, 0.22768662592959843, 0.6221976462801331, 0.012137458315200522]"
45,Node_45,"[0.48864389709875844, 0.6442054818406923, 0.918191773229734, 0.38133581712228426, 0.7651902029810298, 0.5976870299435008, 0.9270121129250806, 0.3983776756594306]"
46,Node_46,"[0.319095339872988, 0.8871419986941438, 0.04924440140828912, 0.1363853929336768, 0.08240443458404445, 0.8431099565764026, 0.010607423370319391, 0.8616571554970481]"
47,Node_47,"[0.4512677953712668, 0.0040252788539707485, 0.40164517721204185, 0.18680084104503558, 0.624400487472163, 0.6793587899216466, 0.48752757040499983, 0.04051952543966997]"
48,Node_48,"[0.6561288043672019, 0.8420387836055212, 0.7203242773264015, 0.8299579189553186, 0.20050952355088747, 0.8888879396564826, 0.3221934506479628, 0.013404814251991026]"
49,Node_49,"[0.8433916463290707, 0.9418212689647267, 0.6555581974173488, 0.23143663046342466, 0.2517444642825304, 0.4665928734356195, 0.8978310796014195, 0.14959765614755838]"
