source,target,shortest_path,path_cost,num_hops
483,364,"[483, 61, 0, 7, 46, 364]",4.803783417702494,5
224,995,"[224, 589, 15, 159, 995]",5.355858279508305,4
193,195,"[193, 26, 19, 0, 340, 767, 195]",6.7696336687434115,6
399,771,"[399, 3, 86, 165, 348, 771]",5.2598900186017605,5
56,968,"[56, 664, 639, 968]",5.468601051337458,3
624,212,"[624, 305, 7, 28, 356, 212]",4.833318280788002,5
278,755,"[278, 97, 978, 268, 755]",6.04693194387877,4
379,116,"[379, 11, 19, 116]",4.60296620018767,3
897,450,"[897, 62, 47, 7, 268, 450]",6.680826947304575,5
598,409,"[598, 118, 81, 140, 409]",4.427449478542474,4
892,366,"[892, 7, 31, 8, 693, 366]",4.941150069124776,5
774,995,"[774, 738, 102, 221, 159, 995]",5.711890772077156,5
811,928,"[811, 20, 74, 6, 435, 928]",8.380151455230852,5
112,959,"[112, 44, 285, 959]",2.8921229701564113,3
163,3,"[163, 42, 68, 109, 3]",4.649687264060537,4
629,22,"[629, 10, 22]",2.679183194579797,2
920,744,"[920, 9, 13, 0, 744]",5.4101763533867775,4
601,987,"[601, 97, 26, 19, 88, 24, 200, 987]",6.295812630871102,7
766,91,"[766, 6, 74, 91]",4.250551881205907,3
468,969,"[468, 6, 343, 969]",5.626174329208443,3
154,818,"[154, 246, 7, 607, 818]",4.6159380897956686,4
626,206,"[626, 769, 2, 401, 476, 206]",3.6028720397787364,5
80,614,"[80, 36, 9, 6, 614]",3.1624666943334505,4
482,964,"[482, 30, 47, 7, 32, 558, 964]",6.091049111399376,6
591,406,"[591, 8, 6, 614, 406]",5.897594543417113,4
102,239,"[102, 384, 0, 456, 45, 239]",5.380582785315417,5
264,32,"[264, 8, 31, 7, 32]",2.6910939195767547,4
34,248,"[34, 490, 9, 248]",3.66728904542955,3
999,49,"[999, 29, 17, 49]",5.44043091890994,3
279,983,"[279, 122, 56, 687, 983]",5.041933617689125,4
753,151,"[753, 151]",3.189507272162164,1
