node_id,node_name,features
0,Node_0,"[0.44672646870264054, 0.12344986581035511, 0.20598003587696168, 0.000943415267631087, 0.03926505164866023, 0.9772838231769293, 0.2423536951367623, 0.663310709504002]"
1,Node_1,"[0.8390996987996115, 0.5506604592365643, 0.1531445000839562, 0.7281164373361664, 0.600251410099583, 0.7312505893473751, 0.7697466228570872, 0.9754103676847451]"
2,Node_2,"[0.57356328002671, 0.3416411126906018, 0.6484645569002371, 0.06844070924262613, 0.8973973183215863, 0.11938101133819679, 0.32784283788581825, 0.8157453806261209]"
3,Node_3,"[0.5973123783307118, 0.3936355202774421, 0.4734356593750214, 0.8545473932021803, 0.34000438605989214, 0.8696496848121713, 0.08813443097669149, 0.7767984372086307]"
4,Node_4,"[0.8475476330547363, 0.18181765283733875, 0.43034653237220044, 0.16549977466365562, 0.7066041289942178, 0.5353477680616567, 0.635323346708321, 0.19648696695621115]"
5,Node_5,"[0.21174586205241952, 0.04149732550990637, 0.3220675351957297, 0.559744661333675, 0.8579349139973288, 0.6669274474586807, 0.43539632339975143, 0.9531201143941378]"
6,Node_6,"[0.7192452005758319, 0.93016520286255, 0.5275879732721657, 0.2589042747931396, 0.052826686364721986, 0.7260848514838505, 0.12130299800553412, 0.3027751282719672]"
7,Node_7,"[0.5324709078838974, 0.5644165877797477, 0.600583196987136, 0.16625533034970064, 0.37973740482164875, 0.6171942271169667, 0.9698188646337847, 0.7276311376996887]"
8,Node_8,"[0.9226037570939578, 0.762212058314177, 0.5917169688924004, 0.19202336913634455, 0.666685651892513, 0.6233795659599071, 0.6024691704572664, 0.48978586798824075]"
9,Node_9,"[0.5286566039892756, 0.33444252711810407, 0.5193126926423032, 0.19755590567847825, 0.8051743973603768, 0.1857769546987078, 0.08496628988946642, 0.43624602635715737]"
10,Node_10,"[0.6583074395060619, 0.43771682493354136, 0.2767541319513086, 0.5581711838904407, 0.34700233541219994, 0.9328676901266331, 0.9226451396035721, 0.5023718199720955]"
11,Node_11,"[0.3278839940182585, 0.7371324139566391, 0.03671294348306664, 0.47476900604365124, 0.33632339427033353, 0.9205358851025547, 0.012003027272682543, 0.5528148757183491]"
12,Node_12,"[0.740663581066626, 0.48501798752404124, 0.08540303016272166, 0.9724613900279022, 0.5180104313760979, 0.6141862443190114, 0.23660978270750732, 0.4834980851068038]"
13,Node_13,"[0.42914949195832186, 0.07489584200198374, 0.10616035354746722, 0.8374725196187746, 0.23981995220659025, 0.19495827149863054, 0.5049114512501393, 0.7687471313625129]"
14,Node_14,"[0.06194651857898792, 0.5768079196382558, 0.11921044284057336, 0.03646105082561846, 0.05274395216221739, 0.8341641082084413, 0.11797248362806156, 0.04515136441229195]"
15,Node_15,"[0.4378998871429123, 0.8439934719420248, 0.26240837648930193, 0.4217126175259164, 0.03992253256375122, 0.4490785141348759, 0.5776130806371337, 0.5709070537521448]"
16,Node_16,"[0.33242669217436516, 0.3155331806631355, 0.10662361893659789, 0.3667983206462684, 0.09949466887296465, 0.7665959447120516, 0.9662742977481859, 0.9700744566667069]"
17,Node_17,"[0.8650710993753938, 0.6007921493396191, 0.7008656972438799, 0.28520580268041407, 0.6307704201726206, 0.45564954943987745, 0.4820173397769325, 0.757776560375158]"
18,Node_18,"[0.28191835559725165, 0.3180396116945199, 0.9246417911286366, 0.056224294850972245, 0.4856342984133404, 0.9128008004078617, 0.610363007818157, 0.5464070742121321]"
19,Node_19,"[0.2497441792293552, 0.34327548906444827, 0.8520484158046929, 0.5592181317684581, 0.5147421937567799, 0.09957971354002892, 0.01602815645512312, 0.9636851886870491]"
20,Node_20,"[0.37698616728684164, 0.6032130620995043, 0.07971507318728499, 0.6831142857230466, 0.9325667087059609, 0.5756652529974197, 0.12611532237541057, 0.5817215274734767]"
21,Node_21,"[0.7663472131046524, 0.40641653657401866, 0.8798377479414679, 0.6486829533573645, 0.8992489182892025, 0.6235053112473372, 0.13128797200482423, 0.3096917111051891]"
22,Node_22,"[0.20179494825245692, 0.9088264977168623, 0.7604000672874827, 0.676398368910006, 0.3009663196316217, 0.18404477205021352, 0.7564510879889118, 0.47415794587907967]"
23,Node_23,"[0.22578955215062912, 0.6166219781652751, 0.040333852138451975, 0.3261702541282535, 0.46855699459113465, 0.14795833410940584, 0.9846544775908396, 0.20909736458961425]"
24,Node_24,"[0.13035313004326554, 0.2035348738868964, 0.7690611331597242, 0.4255056592718428, 0.565415939752538, 0.021009156986360744, 0.034431308573314556, 0.44582554982701617]"
25,Node_25,"[0.8166552432016235, 0.8852388787075652, 0.08670656759564022, 0.5383631021010228, 0.9132296862792705, 0.38797275439788637, 0.8295658314283686, 0.1336956543994362]"
26,Node_26,"[0.9353944896677987, 0.7514233175313026, 0.9413343927869017, 0.6766172335525065, 0.363403931999427, 0.9381811725247224, 0.2755667763091785, 0.33217252206173253]"
27,Node_27,"[0.7008084180017403, 0.7653162995253863, 0.9294034838491538, 0.2048024090562095, 0.797998035219224, 0.7385460533969634, 0.06379455625359787, 0.38722314121020696]"
28,Node_28,"[0.2827654570600986, 0.3044904243540304, 0.9829468795547008, 0.6427774134799279, 0.7176761577934996, 0.9766176373150092, 0.3772017824576387, 0.8018401684528059]"
29,Node_29,"[0.43453096330449537, 0.8695336718149798, 0.18065754131130318, 0.9476861770642796, 0.21877170841087967, 0.3262205069809315, 0.7561922341067805, 0.3937551415654067]"
30,Node_30,"[0.6082113767664467, 0.4445735010694285, 0.7423699370897818, 0.22833125236861085, 0.05845798723687701, 0.29992939747306624, 0.47430866486843026, 0.16802005219267857]"
31,Node_31,"[0.3547972896563887, 0.3999830182935685, 0.05739184368827355, 0.5833072481842045, 0.8843434279712875, 0.15174291295305242, 0.597808013401514, 0.6647392049108463]"
32,Node_32,"[0.41933468041928834, 0.70109758736427, 0.41073154349101204, 0.5046372879774349, 0.00735304455442698, 0.6917201141346888, 0.6613426789447244, 0.03840087732634456]"
33,Node_33,"[0.3682501073951331, 0.9790318407916674, 0.4207365625686168, 0.5019454051318417, 0.9099301581597186, 0.7172618758657564, 0.5820701311242236, 0.7978046813410725]"
34,Node_34,"[0.8643662664559733, 0.45688807173726687, 0.4751083649318354, 0.3860509356518358, 0.9667061400184606, 0.6971662542903504, 0.0832230662080723, 0.8629596233130185]"
35,Node_35,"[0.4805599408362681, 0.06875390642248747, 0.549717255163311, 0.4171642789757021, 0.8777494048626249, 0.20399460360938737, 0.8264646094921829, 0.5576886911854527]"
36,Node_36,"[0.05461030321346905, 0.9718453013254846, 0.5126152441031999, 0.2908768542315825, 0.4694068419892581, 0.857857783517489, 0.3049031243850635, 0.19267639648670032]"
37,Node_37,"[0.12907124693088146, 0.29785939839021125, 0.7800480870400435, 0.4716263651952617, 0.22748160369353998, 0.1661849996097492, 0.3327294765103791, 0.9399243728857088]"
38,Node_38,"[0.3430267125900244, 0.9881240759546354, 0.4852304557653562, 0.17916391829015088, 0.8911400917935094, 0.4603553731348269, 0.7096713435045244, 0.9837115832091518]"
39,Node_39,"[0.050175350319974, 0.09669455978756714, 0.7204567414627562, 0.281825003295472, 0.18430139695009906, 0.039361879819729495, 0.021846711986201806, 0.7744856031197909]"
40,Node_40,"[0.13443342736955, 0.4677206159711509, 0.605896815179483, 0.42835180056884625, 0.027106652336233106, 0.7835015025879088, 0.010513224541653488, 0.761889894377484]"
41,Node_41,"[0.8933044937881227, 0.4328399210571723, 0.5355424730977982, 0.47698339261765377, 0.3892086186234388, 0.8874245353703603, 0.8939335106699905, 0.3358163646415345]"
42,Node_42,"[0.615069754014698, 0.9269075621458641, 0.9620584989413515, 0.5089590404220475, 0.4528248052843268, 0.2786943159285258, 0.95887187319041, 0.14281430447286736]"
