source,target,cost
860,3772,5.68808897237848
3092,466,7.227072092856888
4426,3444,9.6268543545159
3171,2919,10.48113833484788
130,1685,6.103601637091042
769,2391,8.49728593632176
2433,1184,6.053925793788949
4555,3385,7.289840554452452
4117,4843,8.088222382801336
2904,474,7.307782512169722
1082,2558,5.356175105380677
2047,2747,8.163039821571404
975,1806,9.14972334713053
189,2734,9.160264205985985
3005,4658,7.763013563197694
1899,1267,7.03618853400451
1528,3202,11.153025123331764
3556,3890,5.024144771257561
646,2888,9.343697804666864
2435,600,8.66776302348618
2363,2061,6.642508543476376
241,2041,8.425799540091703
2824,2612,8.729938664575633
1363,1478,6.2823440287942525
2556,775,8.119500806979039
4014,34,7.473446798142915
3152,1955,6.881627065547973
1585,3943,9.472057282411939
3073,1021,8.488613716537047
3461,2613,11.54155271632523
3843,1500,8.989981997742046
4798,161,4.73119793135332
4297,1981,7.5561337189789395
995,4911,3.1146074466059614
3342,4551,9.321443221215572
3798,1275,5.739090827539833
1016,337,7.754403668699013
878,1076,6.72371537717049
4887,3993,7.147230746355223
4859,379,8.774257276954616
492,2062,5.87209298938023
3884,64,6.337180118092978
2568,2027,5.111866049168576
2695,1495,5.6382800514937905
391,4514,8.679795962080352
4474,3561,8.204652822628095
2278,3099,7.903706211649156
200,4875,7.878225980233411
3104,4598,6.860003480260053
2454,3645,9.61614912663714
804,2731,8.119052761519074
2773,1570,3.8882833212620227
2690,3840,6.038994080555835
1028,502,8.800305427510171
4493,870,8.18804241691125
4488,206,5.868304836788882
1484,863,5.456194748656156
2790,563,7.62892997889092
4191,1757,8.40553896537729
1678,3242,7.134608951403566
4636,1059,9.162210540321897
1722,3314,7.3283710083830425
3157,2625,9.105061559638669
2729,1597,6.541597237383542
3060,2693,9.693665470647217
4891,3627,7.028607754538602
1363,1981,6.716959490550825
1663,1529,6.300489334762837
2038,3302,6.734985180737391
2237,1306,9.861540811109503
4029,2675,12.415130133357634
1282,709,5.885613820045011
4744,4413,10.066027985753395
3748,4779,9.004122505077707
663,1998,5.0539496143162435
3445,3743,4.682605093447924
1495,3304,8.441616320804233
3763,1853,9.857731602245284
4659,1291,7.697838415107178
3581,3457,10.44084098246763
1636,3696,7.394022811374038
2999,3152,7.564136940431464
698,2160,6.1349903861160335
4097,4737,8.302204960485806
854,3474,11.377651116985737
1707,2777,11.649879542236354
1733,4931,6.194240205210259
3510,202,4.426399021866862
3255,4218,11.608791352997468
4496,766,5.931396324245397
4389,2327,5.961533094871592
2931,197,7.0587786813334885
1930,3582,10.201238032767138
608,3272,5.871360000387442
1147,4282,8.455686460577223
3397,2511,6.621366215326766
1794,659,7.103373535967197
2811,1369,8.619399778293381
1986,146,3.6408783136034693
3219,2911,5.7976740420539015
1734,1843,7.931774860105918
488,2976,8.804202859527766
1959,2385,6.811315319167612
2919,4736,11.76913150844495
1802,4061,5.413557759855676
3369,262,7.477656317599898
623,1016,6.033772519778673
3643,4976,10.451871616177788
2049,3723,5.755615137709055
4548,3108,13.230008868921121
4090,2056,6.620755684745994
3170,1682,7.033447948061305
2255,1154,7.175423672674158
4499,3191,3.884908591703807
1696,3991,7.08209841852923
4723,4682,8.077188383276253
1648,1445,7.43576365583118
4199,3923,6.172247650939244
253,3183,10.319249875759304
2557,98,5.63991848501436
2200,2961,7.505270994370881
4973,4433,9.413258343598372
3777,2869,7.188803243579033
3234,3791,8.77732756764255
956,4067,6.981613364255411
160,4493,6.49652968440736
1300,4911,5.8509391410292135
3987,1527,8.093517688850255
1218,4496,8.717392046678244
4735,3104,8.713336756643985
2735,4555,5.298844312832548
954,4565,6.7566553125861954
3446,1045,8.44181106578179
1693,3436,6.3164517233547075
562,2485,7.03486863801606
3354,225,2.694313053420344
4893,959,8.874613582678716
4548,3067,13.691001001780467
815,4754,7.581514847120418
4642,3120,8.173821187172157
16,1243,3.9041207530244586
2205,2524,7.044008903946354
1069,3444,10.853985006634533
2565,1060,8.676266714369383
2327,3420,4.214335909860324
301,4276,7.054764694950309
606,3170,7.989623339981737
699,1139,6.898933463196793
190,2300,6.3854491547635135
980,2975,10.850557100851614
1184,3327,7.593210926093615
3394,127,8.170713094825013
2065,1816,8.106746836530172
569,1895,9.136679164885107
2733,3863,8.740781235982192
4721,4014,8.965257951260316
2901,1686,10.206920530481566
3009,154,8.95813763080313
2537,1409,8.997428061945763
4057,784,7.942754344643834
3175,4341,8.839143116764175
2806,537,9.802558720585353
1841,2455,7.812683740999828
524,2950,7.867364928064623
4131,4780,9.267449860958378
4115,2368,5.231261275209182
3847,4495,7.677351058997676
2701,971,6.891771369680633
1166,4929,7.360418117291752
2774,1982,7.2832728883609015
853,4146,5.975549433308241
3736,3769,6.8377431883664
574,3261,6.470293541820917
1148,1715,7.381492805554087
4777,4933,9.782087602574615
3854,2491,11.330645099165318
2660,3124,10.385814254733273
3051,4,4.035473495008727
4869,876,10.371871176264705
991,4142,5.957422846259787
4364,4465,9.045210497703465
635,1693,4.561617168055868
1682,4752,8.39585060419839
119,830,4.102937001608658
3675,1369,8.191974824137898
740,116,5.524607763658132
2838,1150,6.775315179099009
1931,1012,9.993590772036976
1664,1081,7.879220932354828
4729,512,9.901370624420244
2849,559,7.886300920500338
3672,4583,11.66115945582753
4992,3343,8.648759433142905
4070,4799,7.024545742216324
1470,580,5.456853083620681
2294,3147,9.125869056398214
4249,1679,6.71525352611493
3506,2744,11.081524602348894
3356,4045,11.524787504359633
1243,3118,4.959791290496662
2141,3059,10.266457188808005
4548,2959,12.7652114532896
2265,2479,9.19751959410783
